Project,Set,File,# of Cells,Total Cell Area,Tissue Area,Normalized (Cell/Tissue)
Ki671,set,166041_001_001.tif,0,0,11073,0
Ki671,set,166041_001_002.tif,0,0,780575,0
Ki671,set,166041_001_003.tif,1,1141.5,544670,0.00209576
Ki671,set,166041_001_004.tif,0,0,296660,0
Ki671,set,166041_001_005.tif,2,3636.5,194571,0.0186898
Ki671,set,166041_001_006.tif,8,13329.5,322254,0.0413634
Ki671,set,166041_001_007.tif,20,43985.5,286966,0.153277
Ki671,set,166041_001_008.tif,2,2742.5,100254,0.0273555
Ki671,set,166041_001_009.tif,5,6938,141993,0.0488616
Ki671,set,166041_001_010.tif,4,6550.5,190896,0.0343144
Ki671,set,166041_001_011.tif,0,0,44881,0
Ki671,set,166041_001_012.tif,1,1326,58812,0.0225464
Ki671,set,166041_001_013.tif,4,7802,235090,0.0331872
Ki671,set,166041_001_014.tif,1,1041.5,24087,0.0432391
Ki671,set,166041_001_015.tif,0,0,1701.5,0
Ki671,set,166041_001_016.tif,1,1784,65954.5,0.027049
Ki671,set,166041_001_017.tif,0,0,438,0
Ki671,set,166041_001_018.tif,0,0,18575,0
Ki671,set,166041_001_019.tif,0,0,525,0
Ki671,set,166041_001_020.tif,2,3057.5,74835,0.0408566
Ki671,set,166041_001_021.tif,0,0,3505,0
Ki671,set,166041_001_022.tif,1,1339.5,9362,0.143078
Ki671,set,166041_001_023.tif,6,12266,161200,0.076092
Ki671,set,166041_001_024.tif,2,2312.5,64543,0.0358288
Ki671,set,166041_001_025.tif,2,3500.5,95198.5,0.0367705
Ki671,set,166041_001_026.tif,0,0,33065.5,0
Ki671,set,166041_001_027.tif,5,7442.5,242258,0.0307213
Ki671,set,166041_001_028.tif,1,1178,22047.5,0.0534301
Ki671,set,166041_001_029.tif,1,9733,89741,0.108457
Ki671,set,166041_001_030.tif,0,0,21532,0
Ki671,set,166041_001_031.tif,2,3696.5,36001,0.102678
Ki671,set,166041_001_032.tif,2,2642.5,171918,0.0153707
Ki671,set,166041_001_033.tif,0,0,82325,0
Ki671,set,166041_001_034.tif,2,3283,106691,0.0307711
Ki671,set,166041_001_035.tif,5,6844.5,281261,0.024335
Ki671,set,166041_001_036.tif,13,20368,253112,0.0804701
Ki671,set,166041_001_037.tif,6,7273,188798,0.0385227
Ki671,set,166041_001_038.tif,8,11468,227868,0.0503273
Ki671,set,166041_001_039.tif,8,12727,316974,0.0401516
Ki671,set,166041_001_040.tif,1,1040,118816,0.00875303
Ki671,set,166041_001_041.tif,0,0,591255,0
Ki671,set,166041_001_042.tif,0,0,68106,0
Ki671,set,166041_001_043.tif,0,0,10319,0
Ki671,set,166041_001_044.tif,0,0,9791.5,0
Ki671,set,166041_001_045.tif,0,0,203946,0
Ki671,set,166041_001_046.tif,3,4306,334250,0.0128826
Ki671,set,166041_001_047.tif,17,23633.5,556206,0.0424906
Ki671,set,166041_001_048.tif,3,5287,211452,0.0250033
Ki671,set,166041_001_049.tif,8,10761.5,258156,0.041686
Ki671,set,166041_001_050.tif,4,5444,177984,0.0305869
Ki671,set,166041_001_051.tif,6,8984,157290,0.0571176
Ki671,set,166041_001_052.tif,6,9825,222149,0.0442271
Ki671,set,166041_001_053.tif,1,1807,149104,0.0121191
Ki671,set,166041_001_054.tif,3,5608.5,178729,0.0313799
Ki671,set,166041_001_055.tif,3,3804,65973.5,0.0576595
Ki671,set,166041_001_056.tif,2,3547.5,113356,0.0312953
Ki671,set,166041_001_057.tif,2,2698,76358.5,0.0353333
Ki671,set,166041_001_058.tif,0,0,14299,0
Ki671,set,166041_001_059.tif,0,0,6614,0
Ki671,set,166041_001_060.tif,0,0,19851,0
Ki671,set,166041_001_061.tif,0,0,14158.5,0
Ki671,set,166041_001_062.tif,0,0,148994,0
Ki671,set,166041_001_063.tif,1,1766.5,142997,0.0123534
Ki671,set,166041_001_064.tif,0,0,36232,0
Ki671,set,166041_001_065.tif,0,0,3256,0
Ki671,set,166041_001_066.tif,0,0,370,0
Ki671,set,166041_001_067.tif,0,0,213.5,0
Ki671,set,166041_001_068.tif,0,0,301.5,0
Ki671,set,166041_001_069.tif,0,0,220,0
Ki671,set,166041_001_070.tif,0,0,512,0
Ki671,set,166041_001_071.tif,0,0,159698,0
Ki671,set,166041_001_072.tif,0,0,66405,0
Ki671,set,166041_001_073.tif,0,0,4870,0
Ki671,set,166041_001_074.tif,0,0,62532.5,0
Ki671,set,166041_001_075.tif,1,1191.5,25016,0.0476295
Ki671,set,166041_001_076.tif,0,0,7147,0
Ki671,set,166041_001_077.tif,1,1082.5,35223.5,0.0307323
Ki671,set,166041_001_078.tif,4,5681,125520,0.0452599
Ki671,set,166041_001_079.tif,0,0,20221,0
Ki671,set,166041_001_080.tif,1,1182,133230,0.00887188
Ki671,set,166041_001_081.tif,1,1828.5,124916,0.0146378
Ki671,set,166041_001_082.tif,8,11627.5,194220,0.0598677
Ki671,set,166041_001_083.tif,5,6857.5,140442,0.0488282
Ki671,set,166041_001_084.tif,9,11811.5,477186,0.0247524
Ki671,set,166041_001_085.tif,7,9605.5,208793,0.0460049
Ki671,set,166041_001_086.tif,2,4231.5,151156,0.0279942
Ki671,set,166041_001_087.tif,16,23083.5,376815,0.0612595
Ki671,set,166041_001_088.tif,9,13316.5,342938,0.0388307
Ki671,set,166041_001_089.tif,1,1522,137810,0.0110442
Ki671,set,166041_001_090.tif,0,0,100618,0
Ki671,set,166041_001_091.tif,0,0,104920,0
Ki671,set,166041_001_092.tif,0,0,268022,0
Ki671,set,166041_001_093.tif,0,0,9279,0
Ki671,set,166041_001_094.tif,0,0,495786,0
Ki671,set,166041_001_095.tif,5,7498,201806,0.0371544
Ki671,set,166041_001_096.tif,4,5561.5,138049,0.0402864
Ki671,set,166041_001_097.tif,1,1379.5,67947,0.0203026
Ki671,set,166041_001_098.tif,10,13969.5,223490,0.062506
Ki671,set,166041_001_099.tif,3,4484.5,248628,0.018037
Ki671,set,166041_001_100.tif,9,14561,210116,0.0692998
Ki671,set,166041_001_101.tif,3,5133,128691,0.0398862
Ki671,set,166041_001_102.tif,2,4500.5,142978,0.031477
Ki671,set,166041_001_103.tif,1,1056,93926.5,0.0112428
Ki671,set,166041_001_104.tif,1,1480,79733.5,0.0185618
Ki671,set,166041_001_105.tif,11,15822,233452,0.067774
Ki671,set,166041_001_106.tif,3,5012.5,84970.5,0.0589911
Ki671,set,166041_001_107.tif,0,0,19189,0
Ki671,set,166041_001_108.tif,1,1008.5,53535,0.0188381
Ki671,set,166041_001_109.tif,0,0,27082.5,0
Ki671,set,166041_001_110.tif,0,0,10487,0
Ki671,set,166041_001_111.tif,0,0,10082,0
Ki671,set,166041_001_112.tif,1,1334.5,19779.5,0.0674688
Ki671,set,166041_001_113.tif,0,0,76987.5,0
Ki671,set,166041_001_114.tif,0,0,2497,0
Ki671,set,166041_001_115.tif,0,0,1419,0
Ki671,set,166041_001_116.tif,0,0,8612.5,0
Ki671,set,166041_001_117.tif,0,0,91846.5,0
Ki671,set,166041_001_118.tif,2,2700,35872.5,0.0752666
Ki671,set,166041_001_119.tif,0,0,11883,0
Ki671,set,166041_001_120.tif,0,0,7913.5,0
Ki671,set,166041_001_121.tif,0,0,32784.5,0
Ki671,set,166041_001_122.tif,1,1615.5,25250.5,0.0639789
Ki671,set,166041_001_123.tif,8,13502.5,159082,0.0848779
Ki671,set,166041_001_124.tif,2,3677,158447,0.0232065
Ki671,set,166041_001_125.tif,5,6919.5,113186,0.0611336
Ki671,set,166041_001_126.tif,0,0,53143.5,0
Ki671,set,166041_001_127.tif,5,7231,148136,0.0488134
Ki671,set,166041_001_128.tif,3,6677,222127,0.0300594
Ki671,set,166041_001_129.tif,1,1938,114828,0.0168774
Ki671,set,166041_001_130.tif,2,2758,167693,0.0164467
Ki671,set,166041_001_131.tif,1,1187,177798,0.00667613
Ki671,set,166041_001_132.tif,9,12586.5,261778,0.0480807
Ki671,set,166041_001_133.tif,1,1135,17043,0.0665963
Ki671,set,166041_001_134.tif,2,2541,68501,0.0370943
Ki671,set,166041_001_135.tif,1,1047.5,71083,0.0147363
Ki671,set,166041_001_136.tif,1,1880,82829,0.0226974
Ki671,set,166041_001_137.tif,0,0,115274,0
Ki671,set,166041_001_138.tif,0,0,11097.5,0
Ki671,set,166041_001_139.tif,0,0,186725,0
Ki671,set,166041_001_140.tif,0,0,93850,0
Ki671,set,166041_001_141.tif,4,8309.5,301480,0.0275624
Ki671,set,166041_001_142.tif,2,3245,59122.5,0.054886
Ki671,set,166041_001_143.tif,4,8713,143837,0.0605755
Ki671,set,166041_001_144.tif,0,0,30818.5,0
Ki671,set,166041_001_145.tif,2,3087.5,83628,0.0369195
Ki671,set,166041_001_146.tif,5,9634.5,206388,0.0466814
Ki671,set,166041_001_147.tif,2,2531,93057,0.0271984
Ki671,set,166041_001_148.tif,3,4126.5,141218,0.0292207
Ki671,set,166041_001_149.tif,2,3781,196042,0.0192867
Ki671,set,166041_001_150.tif,5,6744.5,80378,0.0839098
Ki671,set,166041_001_151.tif,6,11777,162084,0.0726599
Ki671,set,166041_001_152.tif,7,9207,139158,0.066162
Ki671,set,166041_001_153.tif,1,1154,78720,0.0146596
Ki671,set,166041_001_154.tif,4,5705,109042,0.0523193
Ki671,set,166041_001_155.tif,2,2352,54710.5,0.0429899
Ki671,set,166041_001_156.tif,3,4023,74161,0.0542468
Ki671,set,166041_001_157.tif,1,1199,33010,0.0363223
Ki671,set,166041_001_158.tif,0,0,149952,0
Ki671,set,166041_001_159.tif,0,0,9980,0
Ki671,set,166041_001_160.tif,0,0,2257.5,0
Ki671,set,166041_001_161.tif,0,0,14295,0
Ki671,set,166041_001_162.tif,0,0,77190,0
Ki671,set,166041_001_163.tif,0,0,968.5,0
Ki671,set,166041_001_164.tif,0,0,21781.5,0
Ki671,set,166041_001_165.tif,0,0,11723,0
Ki671,set,166041_001_166.tif,5,7731,109081,0.0708739
Ki671,set,166041_001_167.tif,3,3637,84522.5,0.04303
Ki671,set,166041_001_168.tif,2,2134.5,55532.5,0.038437
Ki671,set,166041_001_169.tif,0,0,4069.5,0
Ki671,set,166041_001_170.tif,2,3361.5,100869,0.0333254
Ki671,set,166041_001_171.tif,3,4192,105122,0.0398773
Ki671,set,166041_001_172.tif,6,10787.5,103601,0.104125
Ki671,set,166041_001_173.tif,5,6947.5,133980,0.0518546
Ki671,set,166041_001_174.tif,3,4597.5,118196,0.0388974
Ki671,set,166041_001_175.tif,4,7054,65520,0.107662
Ki671,set,166041_001_176.tif,7,10767,164624,0.0654034
Ki671,set,166041_001_177.tif,5,6668,136680,0.0487853
Ki671,set,166041_001_178.tif,2,2698.5,50130.5,0.0538295
Ki671,set,166041_001_179.tif,3,3445,27653.5,0.124577
Ki671,set,166041_001_180.tif,1,1389,59704.5,0.0232646
Ki671,set,166041_001_181.tif,12,26555,511563,0.0519095
Ki671,set,166041_001_182.tif,0,0,32181,0
Ki671,set,166041_001_183.tif,5,6079.5,351930,0.0172747
Ki671,set,166041_001_184.tif,14,26064.5,385075,0.0676868
Ki671,set,166041_001_185.tif,0,0,682.5,0
Ki671,set,166041_001_186.tif,0,0,2846.5,0
Ki671,set,166041_001_187.tif,6,9361.5,199130,0.047012
Ki671,set,166041_001_188.tif,0,0,33396,0
Ki671,set,166041_001_189.tif,0,0,19739.5,0
Ki671,set,166041_001_190.tif,7,16788.5,371146,0.0452342
Ki671,set,166041_001_191.tif,1,1482.5,28364.5,0.052266
Ki671,set,166041_001_192.tif,8,12727,261411,0.0486858
Ki671,set,166041_001_193.tif,2,2306.5,19962.5,0.115542
Ki671,set,166041_001_194.tif,7,9564,114982,0.0831779
Ki671,set,166041_001_195.tif,1,1004.5,51277,0.0195897
Ki671,set,166041_001_196.tif,3,3910.5,127554,0.0306576
Ki671,set,166041_001_197.tif,7,10038.5,92946.5,0.108003
Ki671,set,166041_001_198.tif,1,1728.5,23349,0.0740289
Ki671,set,166041_001_199.tif,6,7380.5,103388,0.0713864
Ki671,set,166041_001_200.tif,8,10963.5,194039,0.0565015
Ki671,set,166041_001_201.tif,3,4657,69863,0.066659
Ki671,set,166041_001_202.tif,2,2098.5,34514.5,0.0608005
Ki671,set,166041_001_203.tif,1,1555,31818,0.0488717
Ki671,set,166041_001_204.tif,0,0,34870.5,0
Ki671,set,166041_001_205.tif,3,4678.5,80494.5,0.058122
Ki671,set,166041_001_206.tif,0,0,35867.5,0
Ki671,set,166041_001_207.tif,5,7396.5,103604,0.071392
Ki671,set,166041_001_208.tif,1,1093,17880,0.0611298
Ki671,set,166041_001_209.tif,0,0,11341.5,0
Ki671,set,166041_001_210.tif,0,0,23075,0
Ki671,set,166041_001_211.tif,6,9918.5,91650.5,0.108221
Ki671,set,166041_001_212.tif,0,0,52705,0
Ki671,set,166041_001_213.tif,6,9055.5,114024,0.0794178
Ki671,set,166041_001_214.tif,6,8127,98601,0.0824231
Ki671,set,166041_001_215.tif,0,0,7191,0
Ki671,set,166041_001_216.tif,1,1344,17255,0.0778905
Ki671,set,166041_001_217.tif,0,0,26571,0
Ki671,set,166041_001_218.tif,1,1329,21472.5,0.0618931
Ki671,set,166041_001_219.tif,0,0,30967.5,0
Ki671,set,166041_001_220.tif,6,8316.5,96242.5,0.0864119
Ki671,set,166041_001_221.tif,2,2428.5,51374.5,0.0472705
Ki671,set,166041_001_222.tif,1,1671.5,47192,0.0354191
Ki671,set,166041_001_223.tif,0,0,33457,0
Ki671,set,166041_001_224.tif,4,5091,117400,0.0433648
Ki671,set,166041_001_225.tif,0,0,40219.5,0
Ki671,set,166041_001_226.tif,11,15998.5,700836,0.0228278
Ki671,set,166041_001_227.tif,0,0,15481.5,0
Ki671,set,166041_001_228.tif,0,0,4842,0
Ki671,set,166041_001_229.tif,0,0,16149.5,0
Ki671,set,166041_001_230.tif,0,0,6435,0
Ki671,set,166041_001_231.tif,12,20917,218218,0.0958537
Ki671,set,166041_001_232.tif,0,0,36.5,0
Ki671,set,166041_001_233.tif,1,2173,56371.5,0.0385478
Ki671,set,166041_001_234.tif,1,1015.5,29446,0.0344869
Ki671,set,166041_001_235.tif,0,0,11938.5,0
Ki671,set,166041_001_236.tif,0,0,9311.5,0
Ki671,set,166041_001_237.tif,0,0,11650.5,0
Ki671,set,166041_001_238.tif,0,0,12636.5,0
Ki671,set,166041_001_239.tif,0,0,30377,0
Ki671,set,166041_001_240.tif,0,0,10413.5,0
Ki671,set,166041_001_241.tif,1,1054.5,51748,0.0203776
Ki671,set,166041_001_242.tif,1,1350.5,72907,0.0185236
Ki671,set,166041_001_243.tif,0,0,42213,0
Ki671,set,166041_001_244.tif,0,0,75972.5,0
Ki671,set,166041_001_245.tif,8,10512,74507.5,0.141086
Ki671,set,166041_001_246.tif,2,2756.5,103254,0.0266964
Ki671,set,166041_001_247.tif,4,4822,80355.5,0.0600083
Ki671,set,166041_001_248.tif,0,0,15595,0
Ki671,set,166041_001_249.tif,1,1160,70989,0.0163406
Ki671,set,166041_001_250.tif,1,1222,82208,0.0148647
Ki671,set,166041_001_251.tif,2,2150,138166,0.0155609
Ki671,set,166041_001_252.tif,0,0,56138.5,0
Ki671,set,166041_001_253.tif,0,0,144860,0
Ki671,set,166041_001_254.tif,1,1141,47977,0.0237822
Ki671,set,166041_001_255.tif,0,0,13298,0
Ki671,set,166041_001_256.tif,1,1065.5,151436,0.00703598
Ki671,set,166041_001_257.tif,1,2055,39154.5,0.0524844
Ki671,set,166041_001_258.tif,0,0,47314,0
Ki671,set,166041_001_259.tif,4,4946,115190,0.0429376
Ki671,set,166041_001_260.tif,2,4072,112270,0.0362697
Ki671,set,166041_001_261.tif,0,0,43734,0
Ki671,set,166041_001_262.tif,3,4937.5,77217.5,0.0639428
Ki671,set,166041_001_263.tif,2,2299.5,45854,0.0501483
Ki671,set,166041_001_264.tif,0,0,5839.5,0
Ki671,set,166041_001_265.tif,0,0,17680,0
Ki671,set,166041_001_266.tif,0,0,14468.5,0
Ki671,set,166041_001_267.tif,0,0,170248,0
Ki671,set,166041_001_268.tif,0,0,9191,0
Ki671,set,166041_001_269.tif,0,0,34032.5,0
Ki671,set,166041_001_270.tif,0,0,3792.5,0
Ki671,set,166041_001_271.tif,0,0,7443,0
Ki671,set,166041_001_272.tif,0,0,6030.5,0
Ki671,set,166041_001_273.tif,1,2174.5,55448,0.0392169
Ki671,set,166041_001_274.tif,10,16811.5,137516,0.122252
Ki671,set,166041_001_275.tif,0,0,18171.5,0
Ki671,set,166041_001_276.tif,18,35009,379468,0.0922581
Ki671,set,166041_001_277.tif,10,20832.5,208676,0.0998316
Ki671,set,166041_001_278.tif,0,0,5799.5,0
Ki671,set,166041_001_279.tif,0,0,2722,0
Ki671,set,166041_001_280.tif,0,0,24032.5,0
Ki671,set,166041_001_281.tif,1,1246.5,93819,0.0132862
Ki671,set,166041_001_282.tif,0,0,9246.5,0
Ki671,set,166041_001_283.tif,0,0,4280.5,0
Ki671,set,166041_001_284.tif,0,0,25777,0
Ki671,set,166041_001_285.tif,0,0,13381.5,0
Ki671,set,166041_001_286.tif,0,0,31416,0
Ki671,set,166041_001_287.tif,0,0,66976,0
Ki671,set,166041_001_288.tif,2,2461.5,38138.5,0.0645411
Ki671,set,166041_001_289.tif,1,2924,25385,0.115186
Ki671,set,166041_001_290.tif,0,0,7218.5,0
Ki671,set,166041_001_291.tif,2,3547,42865,0.0827482
Ki671,set,166041_001_292.tif,1,1633,88444.5,0.0184636
Ki671,set,166041_001_293.tif,0,0,7395,0
Ki671,set,166041_001_294.tif,0,0,110212,0
Ki671,set,166041_001_295.tif,0,0,45849,0
Ki671,set,166041_001_296.tif,0,0,6584,0
Ki671,set,166041_001_297.tif,0,0,5697,0
Ki671,set,166041_001_298.tif,0,0,4981,0
Ki671,set,166041_001_299.tif,0,0,72204,0
Ki671,set,166041_001_300.tif,0,0,141095,0
Ki671,set,166041_001_301.tif,3,4114.5,35887.5,0.11465
Ki671,set,166041_001_302.tif,0,0,12018,0
Ki671,set,166041_001_303.tif,1,2120,34633.5,0.0612124
Ki671,set,166041_001_304.tif,1,2366,46507,0.0508741
Ki671,set,166041_001_305.tif,3,5438,63073,0.0862176
Ki671,set,166041_001_306.tif,1,2110,43917.5,0.0480446
Ki671,set,166041_001_307.tif,0,0,19822.5,0
Ki671,set,166041_001_308.tif,0,0,15604,0
Ki671,set,166041_001_309.tif,0,0,2175,0
Ki671,set,166041_001_310.tif,0,0,134320,0
Ki671,set,166041_001_311.tif,0,0,27998,0
Ki671,set,166041_001_312.tif,2,2454,35678.5,0.0687809
Ki671,set,166041_001_313.tif,0,0,3879.5,0
Ki671,set,166041_001_314.tif,0,0,4137.5,0
Ki671,set,166041_001_315.tif,0,0,5251.5,0
Ki671,set,166041_001_316.tif,1,1015.5,7876.5,0.128928
Ki671,set,166041_001_317.tif,0,0,16941.5,0
Ki671,set,166041_001_318.tif,16,27924.5,323106,0.0864253
Ki671,set,166041_001_319.tif,10,14043,276835,0.050727
Ki671,set,166041_001_320.tif,1,1054.5,34378,0.0306737
Ki671,set,166041_001_321.tif,0,0,530,0
Ki671,set,166041_001_322.tif,10,18710.5,224578,0.0833142
Ki671,set,166041_001_323.tif,3,6050,253752,0.0238421
Ki671,set,166041_001_324.tif,0,0,7796,0
Ki671,set,166041_001_325.tif,0,0,66915,0
Ki671,set,166041_001_326.tif,0,0,23767,0
Ki671,set,166041_001_327.tif,5,5844,63218,0.092442
Ki671,set,166041_001_328.tif,0,0,35287,0
Ki671,set,166041_001_329.tif,0,0,7186,0
Ki671,set,166041_001_330.tif,0,0,6727.5,0
Ki671,set,166041_001_331.tif,0,0,6834.5,0
Ki671,set,166041_001_332.tif,0,0,10919,0
Ki671,set,166041_001_333.tif,0,0,40089.5,0
Ki671,set,166041_001_334.tif,0,0,50622,0
Ki671,set,166041_001_335.tif,1,1470.5,26526,0.0554362
Ki671,set,166041_001_336.tif,2,2112.5,47221.5,0.044736
Ki671,set,166041_001_337.tif,0,0,20618.5,0
Ki671,set,166041_001_338.tif,1,1063.5,195112,0.00545073
Ki671,set,166041_001_339.tif,1,1353.5,103190,0.0131165
Ki671,set,166041_001_340.tif,0,0,150339,0
Ki671,set,166041_001_341.tif,0,0,42727.5,0
Ki671,set,166041_001_342.tif,0,0,28400.5,0
Ki671,set,166041_001_343.tif,0,0,17814.5,0
Ki671,set,166041_001_344.tif,0,0,14598,0
Ki671,set,166041_001_345.tif,1,1346,42316.5,0.0318079
Ki671,set,166041_001_346.tif,0,0,7376,0
Ki671,set,166041_001_347.tif,0,0,6612,0
Ki671,set,166041_001_348.tif,0,0,47926,0
Ki671,set,166041_001_349.tif,0,0,4549,0
Ki671,set,166041_001_350.tif,2,3441,89063.5,0.0386354
Ki671,set,166041_001_351.tif,0,0,807.5,0
Ki671,set,166041_001_352.tif,1,1780,35996.5,0.0494493
Ki671,set,166041_001_353.tif,0,0,88091,0
Ki671,set,166041_001_354.tif,2,2766,20506,0.134887
Ki671,set,166041_001_355.tif,0,0,5710,0
Ki671,set,166041_001_356.tif,0,0,13061.5,0
Ki671,set,166041_001_357.tif,0,0,18615,0
Ki671,set,166041_001_358.tif,1,1083,38366.5,0.0282278
Ki671,set,166041_001_359.tif,0,0,14.5,0
Ki671,set,166041_001_360.tif,0,0,0,0
Ki671,set,166041_001_361.tif,7,14690.5,155022,0.0947637
Ki671,set,166041_001_362.tif,0,0,33509,0
Ki671,set,166041_001_363.tif,0,0,59619.5,0
Ki671,set,166041_001_364.tif,1,2082.5,93307,0.0223188
Ki671,set,166041_001_365.tif,0,0,11295.5,0
Ki671,set,166041_001_366.tif,0,0,8929.5,0
Ki671,set,166041_001_367.tif,0,0,1703.5,0
Ki671,set,166041_001_368.tif,0,0,11127,0
